concept_name,xml_path,root_tag,document_id_root,set_id,version_number,effective_time,document_code,document_code_display_name,title,product_names,ingredient_names,active_moiety_names,dosage_forms,routes,ndc_product_codes,section_count
acetaminophen,C:\Users\suraj\Hariharan\MedLabelIQ\data\raw\spl\ee50c5ee-1a61-4efc-aca9-42d897d6a3b8\v8\label.xml,document,205070fd-257a-4444-8f0b-6b0226519ad2,ee50c5ee-1a61-4efc-aca9-42d897d6a3b8,8,20260422,34390-5,HUMAN OTC DRUG LABEL,0220K,Acetaminophen,"ACETAMINOPHEN | POVIDONE K30 | STARCH, CORN | SODIUM STARCH GLYCOLATE TYPE A POTATO | STEARIC ACID",ACETAMINOPHEN,TABLET,ORAL,55154-7899,18
ibuprofen,C:\Users\suraj\Hariharan\MedLabelIQ\data\raw\spl\9ce036ef-a22d-4fca-9a62-1b10978f7b26\v9\label.xml,document,8050d9d9-0b0b-4136-be37-a824114f7ea0,9ce036ef-a22d-4fca-9a62-1b10978f7b26,9,20260428,34391-3,Human Prescription Drug Label,"IBUPROFEN Tablets, USP",Ibuprofen | Ibuprofen | Ibuprofen,"IBUPROFEN | SILICON DIOXIDE | CROSCARMELLOSE SODIUM | HYPROMELLOSE 2910 (5 MPA.S) | HYDROXYPROPYL CELLULOSE, UNSPECIFIED | MAGNESIUM STEARATE | MICROCRYSTALLINE CELLULOSE | POLYETHYLENE GLYCOL 400 | STARCH, CORN | POVIDONE K90 | SODIUM LAURYL SULFATE | TITANIUM DIOXIDE | IBUPROFEN | SILICON DIOXIDE | CROSCARMELLOSE SODIUM | HYPROMELLOSE 2910 (5 MPA.S) | HYDROXYPROPYL CELLULOSE, UNSPECIFIED | MAGNESIUM STEARATE | MICROCRYSTALLINE CELLULOSE | POLYETHYLENE GLYCOL 400 | STARCH, CORN | POVIDONE K90 | SODIUM LAURYL SULFATE | TITANIUM DIOXIDE | IBUPROFEN | SILICON DIOXIDE | CROSCARMELLOSE SODIUM | HYPROMELLOSE 2910 (5 MPA.S) | HYDROXYPROPYL CELLULOSE, UNSPECIFIED | MAGNESIUM STEARATE | MICROCRYSTALLINE CELLULOSE | POLYETHYLENE GLYCOL 400 | STARCH, CORN | POVIDONE K90 | SODIUM LAURYL SULFATE | TITANIUM DIOXIDE",IBUPROFEN | IBUPROFEN | IBUPROFEN,"TABLET, FILM COATED | TABLET, FILM COATED | TABLET, FILM COATED",ORAL | ORAL | ORAL,67877-319 | 67877-320 | 67877-321,23
metformin,C:\Users\suraj\Hariharan\MedLabelIQ\data\raw\spl\4f70f907-08d5-4c2e-a4be-32c6124faa7b\v15\label.xml,document,bd9cf158-94b6-42b0-b2d6-7d185b6ac310,4f70f907-08d5-4c2e-a4be-32c6124faa7b,15,20260422,34391-3,HUMAN PRESCRIPTION DRUG LABEL,"These highlights do not include all the information needed to use METFORMIN HYDROCHLORIDE TABLETS safely and effectively. See full prescribing information for METFORMIN HYDROCHLORIDE TABLETS . METFORMIN HYDROCHLORIDE tablets, for oral use Initial U.S. Approval: 1995",Metformin Hydrochloride | Metformin Hydrochloride | Metformin Hydrochloride,"METFORMIN HYDROCHLORIDE | BLACKBERRY | POLYETHYLENE GLYCOL, UNSPECIFIED | MAGNESIUM STEARATE | POLYVINYL ALCOHOL, UNSPECIFIED | POVIDONE, UNSPECIFIED | TALC | TITANIUM DIOXIDE | METFORMIN HYDROCHLORIDE | BLACKBERRY | POLYETHYLENE GLYCOL, UNSPECIFIED | MAGNESIUM STEARATE | POLYVINYL ALCOHOL, UNSPECIFIED | POVIDONE, UNSPECIFIED | TALC | TITANIUM DIOXIDE | METFORMIN HYDROCHLORIDE | BLACKBERRY | POLYETHYLENE GLYCOL, UNSPECIFIED | MAGNESIUM STEARATE | POLYVINYL ALCOHOL, UNSPECIFIED | POVIDONE, UNSPECIFIED | TALC | TITANIUM DIOXIDE",METFORMIN | METFORMIN | METFORMIN,"TABLET, FILM COATED | TABLET, FILM COATED | TABLET, FILM COATED",ORAL | ORAL | ORAL,0378-7185 | 0378-7186 | 0378-7187,72
lisinopril,C:\Users\suraj\Hariharan\MedLabelIQ\data\raw\spl\7d6c31e2-b5a4-4279-8013-a8dad37ea73b\v23\label.xml,document,6723a96d-02f8-40c2-95ec-89a7053a7117,7d6c31e2-b5a4-4279-8013-a8dad37ea73b,23,20251010,34391-3,HUMAN PRESCRIPTION DRUG LABEL,"These highlights do not include all the information needed to use LISINOPRIL TABLETS safely and effectively. See full prescribing information for LISINOPRIL TABLETS. LISINOPRIL tablets, for oral use Initial U.S. Approval: 1988",Lisinopril | Lisinopril | Lisinopril | Lisinopril | Lisinopril | Lisinopril | Lisinopril | Lisinopril | Lisinopril | Lisinopril,"LISINOPRIL | ANHYDROUS DIBASIC CALCIUM PHOSPHATE | MANNITOL | SILICON DIOXIDE | STARCH, CORN | MAGNESIUM STEARATE | LISINOPRIL | ANHYDROUS DIBASIC CALCIUM PHOSPHATE | MANNITOL | SILICON DIOXIDE | STARCH, CORN | MAGNESIUM STEARATE | FERRIC OXIDE RED | LISINOPRIL | ANHYDROUS DIBASIC CALCIUM PHOSPHATE | FERRIC OXIDE YELLOW | MANNITOL | SILICON DIOXIDE | STARCH, CORN | MAGNESIUM STEARATE | LISINOPRIL | ANHYDROUS DIBASIC CALCIUM PHOSPHATE | MANNITOL | SILICON DIOXIDE | STARCH, CORN | MAGNESIUM STEARATE | FERRIC OXIDE RED | LISINOPRIL | ANHYDROUS DIBASIC CALCIUM PHOSPHATE | MANNITOL | SILICON DIOXIDE | STARCH, CORN | MAGNESIUM STEARATE | FERRIC OXIDE RED | LISINOPRIL | ANHYDROUS DIBASIC CALCIUM PHOSPHATE | MANNITOL | SILICON DIOXIDE | STARCH, CORN | MAGNESIUM STEARATE | FERRIC OXIDE RED | LISINOPRIL | ANHYDROUS DIBASIC CALCIUM PHOSPHATE | FERRIC OXIDE YELLOW | MANNITOL | SILICON DIOXIDE | STARCH, CORN | MAGNESIUM STEARATE | LISINOPRIL | ANHYDROUS DIBASIC CALCIUM PHOSPHATE | MANNITOL | SILICON DIOXIDE | STARCH, CORN | MAGNESIUM STEARATE | FERRIC OXIDE RED | LISINOPRIL | ANHYDROUS DIBASIC CALCIUM PHOSPHATE | MANNITOL | SILICON DIOXIDE | STARCH, CORN | MAGNESIUM STEARATE | FERRIC OXIDE RED | LISINOPRIL | ANHYDROUS DIBASIC CALCIUM PHOSPHATE | MANNITOL | SILICON DIOXIDE | STARCH, CORN | MAGNESIUM STEARATE | FERRIC OXIDE RED",LISINOPRIL ANHYDROUS | LISINOPRIL ANHYDROUS | LISINOPRIL ANHYDROUS | LISINOPRIL ANHYDROUS | LISINOPRIL ANHYDROUS | LISINOPRIL ANHYDROUS | LISINOPRIL ANHYDROUS | LISINOPRIL ANHYDROUS | LISINOPRIL ANHYDROUS | LISINOPRIL ANHYDROUS,TABLET | TABLET | TABLET | TABLET | TABLET | TABLET | TABLET | TABLET | TABLET | TABLET,ORAL | ORAL | ORAL | ORAL | ORAL | ORAL | ORAL | ORAL | ORAL | ORAL,68180-512 | 68180-513 | 68180-517 | 68180-980 | 68180-981 | 68180-982 | 68180-979 | 68180-514 | 68180-515 | 68180-516,58
atorvastatin,C:\Users\suraj\Hariharan\MedLabelIQ\data\raw\spl\536b5e0d-1bb9-4c9d-a588-460d7647308b\v3\label.xml,document,b9128b7d-1e45-4f05-9f0a-26bd825e402d,536b5e0d-1bb9-4c9d-a588-460d7647308b,3,20260202,34391-3,Human Prescription Drug Label,"These highlights do not include all the information needed to use ATORVASTATIN CALCIUM TABLETS safely and effectively. See full prescribing information for ATORVASTATIN CALCIUM TABLETS. ATORVASTATIN CALCIUM tablets, for oral use Initial U.S. Approval: 1996",Atorvastatin Calcium | Atorvastatin Calcium | Atorvastatin Calcium | Atorvastatin Calcium,"ATORVASTATIN CALCIUM TRIHYDRATE | CALCIUM CARBONATE | CROSCARMELLOSE SODIUM | HYDROXYPROPYL CELLULOSE (90000 WAMW) | LACTOSE MONOHYDRATE | MAGNESIUM STEARATE | MICROCRYSTALLINE CELLULOSE | POLYSORBATE 80 | POLYVINYL ALCOHOL, UNSPECIFIED | SOYBEAN LECITHIN | TALC | TITANIUM DIOXIDE | XANTHAN GUM | ATORVASTATIN CALCIUM TRIHYDRATE | CALCIUM CARBONATE | CROSCARMELLOSE SODIUM | HYDROXYPROPYL CELLULOSE (90000 WAMW) | LACTOSE MONOHYDRATE | MAGNESIUM STEARATE | MICROCRYSTALLINE CELLULOSE | POLYSORBATE 80 | POLYVINYL ALCOHOL, UNSPECIFIED | SOYBEAN LECITHIN | TALC | TITANIUM DIOXIDE | XANTHAN GUM | ATORVASTATIN CALCIUM TRIHYDRATE | CALCIUM CARBONATE | CROSCARMELLOSE SODIUM | HYDROXYPROPYL CELLULOSE (90000 WAMW) | LACTOSE MONOHYDRATE | MAGNESIUM STEARATE | MICROCRYSTALLINE CELLULOSE | POLYSORBATE 80 | POLYVINYL ALCOHOL, UNSPECIFIED | SOYBEAN LECITHIN | TALC | TITANIUM DIOXIDE | XANTHAN GUM | ATORVASTATIN CALCIUM TRIHYDRATE | CALCIUM CARBONATE | CROSCARMELLOSE SODIUM | HYDROXYPROPYL CELLULOSE (90000 WAMW) | LACTOSE MONOHYDRATE | MAGNESIUM STEARATE | MICROCRYSTALLINE CELLULOSE | POLYSORBATE 80 | POLYVINYL ALCOHOL, UNSPECIFIED | SOYBEAN LECITHIN | TALC | TITANIUM DIOXIDE | XANTHAN GUM",ATORVASTATIN | ATORVASTATIN | ATORVASTATIN | ATORVASTATIN,"TABLET, FILM COATED | TABLET, FILM COATED | TABLET, FILM COATED | TABLET, FILM COATED",ORAL | ORAL | ORAL | ORAL,59651-606 | 59651-607 | 59651-608 | 59651-609,52
amoxicillin,C:\Users\suraj\Hariharan\MedLabelIQ\data\raw\spl\4fb7837e-964c-4d38-a3a5-b384b1bd6e08\v21\label.xml,document,ede2b8f8-5f17-494b-8dd9-a3368f76aebf,4fb7837e-964c-4d38-a3a5-b384b1bd6e08,21,20250228,34391-3,HUMAN PRESCRIPTION DRUG LABEL,"These highlights do not include all the information needed to use AMOXICILLIN CAPSULES safely and effectively. See full prescribing information for AMOXICILLIN CAPSULES . AMOXICILLIN Capsules, for oral use. Initial U.S. Approval: 1974",Amoxicillin,AMOXICILLIN | CROSCARMELLOSE SODIUM | GELATIN | MAGNESIUM STEARATE | TITANIUM DIOXIDE | FERRIC OXIDE YELLOW,AMOXICILLIN ANHYDROUS,CAPSULE,ORAL,0143-9939,49
sertraline,C:\Users\suraj\Hariharan\MedLabelIQ\data\raw\spl\98960cc1-1d44-4d89-b415-7e250cc762cc\v4\label.xml,document,4ec654e4-0bd5-934d-e063-6294a90a218d,98960cc1-1d44-4d89-b415-7e250cc762cc,4,20260406,34391-3,HUMAN PRESCRIPTION DRUG LABEL,"Sertraline Hydrochloride tablets 25 mg, 50 mg, and 100 mg Tablets These highlights do not include all the information needed to use SERTRALINE HYDROCHLORIDE TABLETS safely and effectively. See full prescribing information for SERTRALINE HYDROCHLORIDE TABLETS. SERTRALINE HYDROCHLORIDE tablets, for oral use Initial U.S. Approval:1991",Sertraline hydrochloride | Sertraline hydrochloride | Sertraline hydrochloride,"SILICON DIOXIDE | CALCIUM PHOSPHATE, DIBASIC, ANHYDROUS | HYDROXYPROPYL CELLULOSE, LOW SUBSTITUTED | MAGNESIUM STEARATE | CELLULOSE, MICROCRYSTALLINE | SODIUM STARCH GLYCOLATE TYPE A | TALC | HYPROMELLOSE 2910 (5 MPA.S) | POLYETHYLENE GLYCOL 400 | TITANIUM DIOXIDE | FD&C BLUE NO. 1 | FD&C BLUE NO. 2 | SERTRALINE HYDROCHLORIDE | SILICON DIOXIDE | CALCIUM PHOSPHATE, DIBASIC, ANHYDROUS | HYDROXYPROPYL CELLULOSE, LOW SUBSTITUTED | MAGNESIUM STEARATE | CELLULOSE, MICROCRYSTALLINE | SODIUM STARCH GLYCOLATE TYPE A | TALC | HYPROMELLOSE 2910 (5 MPA.S) | POLYETHYLENE GLYCOL 400 | TITANIUM DIOXIDE | D&C YELLOW NO. 10 | FERROSOFERRIC OXIDE | FD&C BLUE NO. 2 | SERTRALINE HYDROCHLORIDE | SILICON DIOXIDE | CALCIUM PHOSPHATE, DIBASIC, ANHYDROUS | HYDROXYPROPYL CELLULOSE, LOW SUBSTITUTED | MAGNESIUM STEARATE | CELLULOSE, MICROCRYSTALLINE | SODIUM STARCH GLYCOLATE TYPE A | TALC | HYPROMELLOSE 2910 (5 MPA.S) | POLYETHYLENE GLYCOL 400 | TITANIUM DIOXIDE | D&C YELLOW NO. 10 | FERRIC OXIDE YELLOW | SERTRALINE HYDROCHLORIDE",SERTRALINE | SERTRALINE | SERTRALINE,"TABLET, FILM COATED | TABLET, FILM COATED | TABLET, FILM COATED",ORAL | ORAL | ORAL,70010-204 | 70010-203 | 70010-205,62
albuterol,C:\Users\suraj\Hariharan\MedLabelIQ\data\raw\spl\fd0389e0-3713-42e0-8ef2-3bb97676fded\v2\label.xml,document,7d4c1e96-c05f-4ffc-80b6-988986a061bc,fd0389e0-3713-42e0-8ef2-3bb97676fded,2,20260104,34391-3,HUMAN PRESCRIPTION DRUG LABEL,"These highlights do not include all the information needed to use ALBUTEROL SULFATE INHALATION AEROSOL safely and effectively. See full prescribing information for ALBUTEROL SULFATE INHALATION AEROSOL. ALBUTEROL SULFATE inhalation aerosol, for oral inhalation use Initial U.S. Approval: 1981",Albuterol,ALBUTEROL SULFATE | NORFLURANE,ALBUTEROL,"AEROSOL, METERED",RESPIRATORY (INHALATION),69097-021,48
omeprazole,C:\Users\suraj\Hariharan\MedLabelIQ\data\raw\spl\516170d4-4913-4577-a2d2-f5c52d1e79c6\v9\label.xml,document,b182f298-e28f-434b-b6f1-ecfac29d495e,516170d4-4913-4577-a2d2-f5c52d1e79c6,9,20241231,34391-3,HUMAN PRESCRIPTION DRUG LABEL,"These highlights do not include all the information needed to use OMEPRAZOLE DELAYED-RELEASE CAPSULES safely and effectively. See full prescribing information for OMEPRAZOLE DELAYED-RELEASE CAPSULES. OMEPRAZOLE delayed-release capsules, for oral use Initial U.S. Approval: 1989",Omeprazole | Omeprazole,"OMEPRAZOLE | HYPROMELLOSE 2910 (15 MPA.S) | MAGNESIUM OXIDE | METHACRYLIC ACID AND ETHYL ACRYLATE COPOLYMER | POVIDONE K25 | SODIUM LAURYL SULFATE | SUCROSE | TALC | TITANIUM DIOXIDE | TRIETHYL CITRATE | FERROSOFERRIC OXIDE | GELATIN, UNSPECIFIED | FERRIC OXIDE RED | FERRIC OXIDE YELLOW | POTASSIUM HYDROXIDE | PROPYLENE GLYCOL | SHELLAC | AMMONIA | STARCH, CORN | OMEPRAZOLE | HYPROMELLOSE 2910 (15 MPA.S) | MAGNESIUM OXIDE | METHACRYLIC ACID AND ETHYL ACRYLATE COPOLYMER | POVIDONE K25 | SODIUM LAURYL SULFATE | SUCROSE | TALC | TITANIUM DIOXIDE | TRIETHYL CITRATE | FERROSOFERRIC OXIDE | GELATIN, UNSPECIFIED | POTASSIUM HYDROXIDE | PROPYLENE GLYCOL | SHELLAC | AMMONIA | STARCH, CORN",OMEPRAZOLE | OMEPRAZOLE,"CAPSULE, DELAYED RELEASE | CAPSULE, DELAYED RELEASE",ORAL | ORAL,0781-2859 | 0781-2868,66
apixaban,C:\Users\suraj\Hariharan\MedLabelIQ\data\raw\spl\19a60552-374d-4b8b-a8ce-ceae252ea5ba\v16\label.xml,document,ac3db938-22a3-42a0-ac3a-8628d9e0a7cf,19a60552-374d-4b8b-a8ce-ceae252ea5ba,16,20240523,34391-3,HUMAN PRESCRIPTION DRUG LABEL,"These highlights do not include all the information needed to use APIXABAN TABLETS safely and effectively. See full prescribing information for APIXABAN TABLETS. APIXABAN tablets, for oral use Initial U.S. Approval: 2012",Apixaban | Apixaban,"APIXABAN | LACTOSE MONOHYDRATE | CELLULOSE, MICROCRYSTALLINE | CROSCARMELLOSE SODIUM | SODIUM LAURYL SULFATE | MAGNESIUM STEARATE | HYPROMELLOSES | TITANIUM DIOXIDE | TRIACETIN | FERRIC OXIDE YELLOW | APIXABAN | LACTOSE MONOHYDRATE | CELLULOSE, MICROCRYSTALLINE | CROSCARMELLOSE SODIUM | SODIUM LAURYL SULFATE | MAGNESIUM STEARATE | HYPROMELLOSES | TITANIUM DIOXIDE | TRIACETIN | FERRIC OXIDE RED",APIXABAN | APIXABAN,"TABLET, FILM COATED | TABLET, FILM COATED",ORAL | ORAL,0115-1721 | 0115-1722,90
