concept_name,set_id_locked,version_locked,set_id_from_xml,version_from_xml,document_code,document_code_display_name,title,product_count,ingredient_count,route_count,section_count,direct_mapped_section_count,direct_unmapped_section_count,retrieval_family_covered_section_count,retrieval_family_missing_section_count,unclassified_section_count,max_section_depth,parsed_json_path
acetaminophen,ee50c5ee-1a61-4efc-aca9-42d897d6a3b8,8,ee50c5ee-1a61-4efc-aca9-42d897d6a3b8,8,34390-5,HUMAN OTC DRUG LABEL,0220K,1,5,1,18,17,1,15,3,1,1,/app/data/interim/parsed_labels/acetaminophen_ee50c5ee-1a61-4efc-aca9-42d897d6a3b8_v8.json
ibuprofen,9ce036ef-a22d-4fca-9a62-1b10978f7b26,9,9ce036ef-a22d-4fca-9a62-1b10978f7b26,9,34391-3,Human Prescription Drug Label,"IBUPROFEN Tablets, USP",3,36,3,23,23,0,21,2,0,1,/app/data/interim/parsed_labels/ibuprofen_9ce036ef-a22d-4fca-9a62-1b10978f7b26_v9.json
metformin,4f70f907-08d5-4c2e-a4be-32c6124faa7b,15,4f70f907-08d5-4c2e-a4be-32c6124faa7b,15,34391-3,HUMAN PRESCRIPTION DRUG LABEL,"These highlights do not include all the information needed to use METFORMIN HYDROCHLORIDE TABLETS safely and effectively. See full prescribing information for METFORMIN HYDROCHLORIDE TABLETS . METFORMIN HYDROCHLORIDE tablets, for oral use Initial U.S. Approval: 1995",3,24,3,72,38,34,68,4,39,3,/app/data/interim/parsed_labels/metformin_4f70f907-08d5-4c2e-a4be-32c6124faa7b_v15.json
lisinopril,7d6c31e2-b5a4-4279-8013-a8dad37ea73b,23,7d6c31e2-b5a4-4279-8013-a8dad37ea73b,23,34391-3,HUMAN PRESCRIPTION DRUG LABEL,"These highlights do not include all the information needed to use LISINOPRIL TABLETS safely and effectively. See full prescribing information for LISINOPRIL TABLETS. LISINOPRIL tablets, for oral use Initial U.S. Approval: 1988",10,69,10,58,29,29,56,2,4,1,/app/data/interim/parsed_labels/lisinopril_7d6c31e2-b5a4-4279-8013-a8dad37ea73b_v23.json
atorvastatin,536b5e0d-1bb9-4c9d-a588-460d7647308b,3,536b5e0d-1bb9-4c9d-a588-460d7647308b,3,34391-3,Human Prescription Drug Label,"These highlights do not include all the information needed to use ATORVASTATIN CALCIUM TABLETS safely and effectively. See full prescribing information for ATORVASTATIN CALCIUM TABLETS. ATORVASTATIN CALCIUM tablets, for oral use Initial U.S. Approval: 1996",4,52,4,52,33,19,47,5,23,1,/app/data/interim/parsed_labels/atorvastatin_536b5e0d-1bb9-4c9d-a588-460d7647308b_v3.json
amoxicillin,4fb7837e-964c-4d38-a3a5-b384b1bd6e08,21,4fb7837e-964c-4d38-a3a5-b384b1bd6e08,21,34391-3,HUMAN PRESCRIPTION DRUG LABEL,"These highlights do not include all the information needed to use AMOXICILLIN CAPSULES safely and effectively. See full prescribing information for AMOXICILLIN CAPSULES . AMOXICILLIN Capsules, for oral use. Initial U.S. Approval: 1974",1,6,1,49,30,19,46,3,21,1,/app/data/interim/parsed_labels/amoxicillin_4fb7837e-964c-4d38-a3a5-b384b1bd6e08_v21.json
sertraline,98960cc1-1d44-4d89-b415-7e250cc762cc,4,98960cc1-1d44-4d89-b415-7e250cc762cc,4,34391-3,HUMAN PRESCRIPTION DRUG LABEL,"Sertraline Hydrochloride tablets 25 mg, 50 mg, and 100 mg Tablets These highlights do not include all the information needed to use SERTRALINE HYDROCHLORIDE TABLETS safely and effectively. See full prescribing information for SERTRALINE HYDROCHLORIDE TABLETS. SERTRALINE HYDROCHLORIDE tablets, for oral use Initial U.S. Approval:1991",3,40,3,62,36,26,58,4,30,1,/app/data/interim/parsed_labels/sertraline_98960cc1-1d44-4d89-b415-7e250cc762cc_v4.json
albuterol,fd0389e0-3713-42e0-8ef2-3bb97676fded,2,fd0389e0-3713-42e0-8ef2-3bb97676fded,2,34391-3,HUMAN PRESCRIPTION DRUG LABEL,"These highlights do not include all the information needed to use ALBUTEROL SULFATE INHALATION AEROSOL safely and effectively. See full prescribing information for ALBUTEROL SULFATE INHALATION AEROSOL. ALBUTEROL SULFATE inhalation aerosol, for oral inhalation use Initial U.S. Approval: 1981",1,2,1,48,28,20,46,2,29,1,/app/data/interim/parsed_labels/albuterol_fd0389e0-3713-42e0-8ef2-3bb97676fded_v2.json
omeprazole,516170d4-4913-4577-a2d2-f5c52d1e79c6,9,516170d4-4913-4577-a2d2-f5c52d1e79c6,9,34391-3,HUMAN PRESCRIPTION DRUG LABEL,"These highlights do not include all the information needed to use OMEPRAZOLE DELAYED-RELEASE CAPSULES safely and effectively. See full prescribing information for OMEPRAZOLE DELAYED-RELEASE CAPSULES. OMEPRAZOLE delayed-release capsules, for oral use Initial U.S. Approval: 1989",2,36,2,66,31,35,62,4,38,1,/app/data/interim/parsed_labels/omeprazole_516170d4-4913-4577-a2d2-f5c52d1e79c6_v9.json
apixaban,19a60552-374d-4b8b-a8ce-ceae252ea5ba,16,19a60552-374d-4b8b-a8ce-ceae252ea5ba,16,34391-3,HUMAN PRESCRIPTION DRUG LABEL,"These highlights do not include all the information needed to use APIXABAN TABLETS safely and effectively. See full prescribing information for APIXABAN TABLETS. APIXABAN tablets, for oral use Initial U.S. Approval: 2012",2,20,2,90,61,29,86,4,31,3,/app/data/interim/parsed_labels/apixaban_19a60552-374d-4b8b-a8ce-ceae252ea5ba_v16.json
