concept_name,section_uid,depth,loinc_code,code_display_name,raw_title,normalized_title,reason,parent_section_uid,heading_path,direct_char_count,child_count
acetaminophen,48b05cb8-c496-42d7-8c1e-7ad0dfa40fe3,0,42229-5,SPL UNCLASSIFIED SECTION,,,unclassified_no_title,,SPL UNCLASSIFIED SECTION,552,0
metformin,1e234bc4-4455-4efd-8b35-87affd7049d5,1,42229-5,SPL UNCLASSIFIED SECTION,2.1 Adult Dosage,ADULT DOSAGE,unclassified_with_title,f74b8a01-4fd2-428a-8c18-b30e02a096f6,2 DOSAGE AND ADMINISTRATION > 2.1 Adult Dosage,436,0
metformin,1bd7de3b-0d1a-4e8d-b26f-a765ca3dba14,1,42229-5,SPL UNCLASSIFIED SECTION,2.2 Pediatric Dosage for Metformin Hydrochloride Tablets,PEDIATRIC DOSAGE FOR METFORMIN HYDROCHLORIDE TABLETS,unclassified_with_title,f74b8a01-4fd2-428a-8c18-b30e02a096f6,2 DOSAGE AND ADMINISTRATION > 2.2 Pediatric Dosage for Metformin Hydrochloride Tablets,335,0
metformin,ae39b335-5130-497e-bd43-0ed084b24a68,1,42229-5,SPL UNCLASSIFIED SECTION,2.3 Recommendations for Use in Renal Impairment,RECOMMENDATIONS FOR USE IN RENAL IMPAIRMENT,unclassified_with_title,f74b8a01-4fd2-428a-8c18-b30e02a096f6,2 DOSAGE AND ADMINISTRATION > 2.3 Recommendations for Use in Renal Impairment,679,0
metformin,a3a368dd-bc65-4d5f-8ce1-88fb94ca97a7,1,42229-5,SPL UNCLASSIFIED SECTION,2.4 Discontinuation for Iodinated Contrast Imaging Procedures,DISCONTINUATION FOR IODINATED CONTRAST IMAGING PROCEDURES,unclassified_with_title,f74b8a01-4fd2-428a-8c18-b30e02a096f6,2 DOSAGE AND ADMINISTRATION > 2.4 Discontinuation for Iodinated Contrast Imaging Procedures,447,0
metformin,79785c0c-ec18-47ca-a4ee-e85b5f74651b,1,42229-5,SPL UNCLASSIFIED SECTION,5.1 Lactic Acidosis,LACTIC ACIDOSIS,unclassified_with_title,68e1d338-dcfb-453d-9b9f-d7aad6654e28,5 WARNINGS AND PRECAUTIONS > 5.1 Lactic Acidosis,6293,0
metformin,6e05de20-0e9a-47fc-8d2a-b2099a8831a5,1,42229-5,SPL UNCLASSIFIED SECTION,5.2 Vitamin B 12 Deficiency,VITAMIN B 12 DEFICIENCY,unclassified_with_title,68e1d338-dcfb-453d-9b9f-d7aad6654e28,5 WARNINGS AND PRECAUTIONS > 5.2 Vitamin B 12 Deficiency,816,0
metformin,48ad95d5-fcca-40d6-a8c0-0133f85b8698,1,42229-5,SPL UNCLASSIFIED SECTION,5.3 Hypoglycemia with Concomitant Use with Insulin and Insulin Secretagogues,HYPOGLYCEMIA WITH CONCOMITANT USE WITH INSULIN AND INSULIN SECRETAGOGUES,unclassified_with_title,68e1d338-dcfb-453d-9b9f-d7aad6654e28,5 WARNINGS AND PRECAUTIONS > 5.3 Hypoglycemia with Concomitant Use with Insulin and Insulin Secretagogues,422,0
metformin,8886d72e-25ea-4842-a0b1-67b7c4c33a8f,1,42229-5,SPL UNCLASSIFIED SECTION,5.4 Macrovascular Outcomes,MACROVASCULAR OUTCOMES,unclassified_with_title,68e1d338-dcfb-453d-9b9f-d7aad6654e28,5 WARNINGS AND PRECAUTIONS > 5.4 Macrovascular Outcomes,138,0
metformin,4621c2d7-32f9-4fe6-bc17-d807a4a2960e,1,42229-5,SPL UNCLASSIFIED SECTION,6.1 Clinical Studies Experience,CLINICAL STUDIES EXPERIENCE,unclassified_with_title,81881f45-75d8-4c2f-ab87-3d438d3e3bac,6 ADVERSE REACTIONS > 6.1 Clinical Studies Experience,263,1
